	speaker	language	proficiency	level
0	ikkkra	jawa ngoko	understanding	1
1	ikkkra	krama	understanding	0
2	ikkkra	jawa madya	understanding	0
3	ikkkra	arab	understanding	0
4	ikkkra	indonesia	understanding	2
5	ikkkra	indonesia	understanding	2
6	ikkkra	indonesia	understanding	2
7	ikkkra	indonesia	understanding	2
8	ikkkra	indonesia	understanding	2
9	ikkkra	indonesia	understanding	2
10	ikkkra	indonesia	understanding	2
11	ikkkra	indonesia	understanding	2
12	ikkkra	indonesia	understanding	2
13	ikkkra	indonesia	understanding	2
14	ikkkra	indonesia	understanding	2
15	rlqhzp	jawa	understanding	2
16	rlqhzp	trenggalek	understanding	2
17	rlqhzp	indonesia	understanding	1
18	rlqhzp	inggris	understanding	-1
19	rlqhzp	arab	understanding	-1
20	rlqhzp	arab	understanding	-1
21	rlqhzp	arab	understanding	-1
22	rlqhzp	arab	understanding	-1
23	rlqhzp	arab	understanding	-1
24	rlqhzp	arab	understanding	-1
25	rlqhzp	arab	understanding	-1
26	rlqhzp	arab	understanding	-1
27	rlqhzp	arab	understanding	-1
28	rlqhzp	arab	understanding	-1
29	rlqhzp	arab	understanding	-1
30	niscsp	ngoko jogja	understanding	2
31	niscsp	krama jogja	understanding	1
32	niscsp	krama jogja	understanding	1
33	niscsp	krama jogja	understanding	1
34	niscsp	krama jogja	understanding	1
35	niscsp	krama jogja	understanding	1
36	niscsp	krama jogja	understanding	1
37	niscsp	krama jogja	understanding	1
38	niscsp	krama jogja	understanding	1
39	niscsp	krama jogja	understanding	1
40	niscsp	krama jogja	understanding	1
41	niscsp	krama jogja	understanding	1
42	niscsp	krama jogja	understanding	1
43	niscsp	krama jogja	understanding	1
44	oyltse	jawa	understanding	2
45	oyltse	jogja	understanding	2
46	oyltse	indonesia	understanding	2
47	oyltse	inggris	understanding	0
48	oyltse	perancis	understanding	-1
49	oyltse	perancis	understanding	-1
50	oyltse	perancis	understanding	-1
51	oyltse	perancis	understanding	-1
52	oyltse	perancis	understanding	-1
53	oyltse	perancis	understanding	-1
54	oyltse	perancis	understanding	-1
55	oyltse	perancis	understanding	-1
56	oyltse	perancis	understanding	-1
57	oyltse	perancis	understanding	-1
58	oyltse	perancis	understanding	-1
59	eerwkx	jawa ngoko	understanding	2
60	eerwkx	jawa krama	understanding	0
61	eerwkx	ngoko jogja	understanding	0
62	eerwkx	krama jogja	understanding	0
63	eerwkx	krama jogja	understanding	0
64	eerwkx	krama jogja	understanding	0
65	eerwkx	krama jogja	understanding	0
66	eerwkx	krama jogja	understanding	0
67	eerwkx	krama jogja	understanding	0
68	eerwkx	krama jogja	understanding	0
69	eerwkx	krama jogja	understanding	0
70	eerwkx	krama jogja	understanding	0
71	eerwkx	krama jogja	understanding	0
72	eerwkx	krama jogja	understanding	0
73	skiouu	ngoko jawa jogja	understanding	2
74	skiouu	indonesia	understanding	2
75	skiouu	krama jogja	understanding	1
76	skiouu	inggris	understanding	0
77	skiouu	inggris	understanding	0
78	skiouu	inggris	understanding	0
79	skiouu	inggris	understanding	0
80	skiouu	inggris	understanding	0
81	skiouu	inggris	understanding	0
82	skiouu	inggris	understanding	0
83	skiouu	inggris	understanding	0
84	skiouu	inggris	understanding	0
85	skiouu	inggris	understanding	0
86	skiouu	inggris	understanding	0
87	ukornv	jawa ngoko yogyakarta	understanding	2
88	ukornv	jawa krama inggil yogyakarta	understanding	1
89	ukornv	jawa krama alus yogyakarta	understanding	0
90	ukornv	jawa krama alus yogyakarta	understanding	0
91	ukornv	jawa krama alus yogyakarta	understanding	0
92	ukornv	jawa krama alus yogyakarta	understanding	0
93	ukornv	jawa krama alus yogyakarta	understanding	0
94	ukornv	jawa krama alus yogyakarta	understanding	0
95	ukornv	jawa krama alus yogyakarta	understanding	0
96	ukornv	jawa krama alus yogyakarta	understanding	0
97	ukornv	jawa krama alus yogyakarta	understanding	0
98	ukornv	jawa krama alus yogyakarta	understanding	0
99	ukornv	jawa krama alus yogyakarta	understanding	0
100	ukornv	jawa krama alus yogyakarta	understanding	0
101	wdpemb	jawa	understanding	1
102	wdpemb	indonesia	understanding	1
103	wdpemb	perancis	understanding	1
104	wdpemb	inggris	understanding	1
105	wdpemb	inggris	understanding	1
106	wdpemb	inggris	understanding	1
107	wdpemb	inggris	understanding	1
108	wdpemb	inggris	understanding	1
109	wdpemb	inggris	understanding	1
110	wdpemb	inggris	understanding	1
111	wdpemb	inggris	understanding	1
112	wdpemb	inggris	understanding	1
113	wdpemb	inggris	understanding	1
114	wdpemb	inggris	understanding	1
115	valrmt	ponorogo	understanding	2
116	valrmt	jogja	understanding	1
117	valrmt	jogja	understanding	1
118	valrmt	jogja	understanding	1
119	valrmt	jogja	understanding	1
120	valrmt	jogja	understanding	1
121	valrmt	jogja	understanding	1
122	valrmt	jogja	understanding	1
123	valrmt	jogja	understanding	1
124	valrmt	jogja	understanding	1
125	valrmt	jogja	understanding	1
126	valrmt	jogja	understanding	1
127	valrmt	jogja	understanding	1
128	valrmt	jogja	understanding	1
129	hmkwvl	jawa bantul	understanding	2
130	hmkwvl	jawa bantul	understanding	2
131	hmkwvl	jawa bantul	understanding	2
132	hmkwvl	jawa bantul	understanding	2
133	hmkwvl	jawa bantul	understanding	2
134	hmkwvl	jawa bantul	understanding	2
135	hmkwvl	jawa bantul	understanding	2
136	hmkwvl	jawa bantul	understanding	2
137	hmkwvl	jawa bantul	understanding	2
138	hmkwvl	jawa bantul	understanding	2
139	hmkwvl	jawa bantul	understanding	2
140	hmkwvl	jawa bantul	understanding	2
141	hmkwvl	jawa bantul	understanding	2
142	hmkwvl	jawa bantul	understanding	2
143	gokdti	jawa ngoko yogyakarta	understanding	2
144	gokdti	jawa krama yogyakarta	understanding	0
145	gokdti	jawa inggil yogyakarta	understanding	-1
146	gokdti	jawa inggil yogyakarta	understanding	-1
147	gokdti	jawa inggil yogyakarta	understanding	-1
148	gokdti	jawa inggil yogyakarta	understanding	-1
149	gokdti	jawa inggil yogyakarta	understanding	-1
150	gokdti	jawa inggil yogyakarta	understanding	-1
151	gokdti	jawa inggil yogyakarta	understanding	-1
152	gokdti	jawa inggil yogyakarta	understanding	-1
153	gokdti	jawa inggil yogyakarta	understanding	-1
154	gokdti	jawa inggil yogyakarta	understanding	-1
155	gokdti	jawa inggil yogyakarta	understanding	-1
156	gokdti	jawa inggil yogyakarta	understanding	-1
157	adrrsg	jawa ngoko yogyakarta	understanding	2
158	adrrsg	jawa krama yogyakarta	understanding	2
159	adrrsg	jawa ngoko	understanding	0
160	adrrsg	krama	understanding	0
161	adrrsg	krama	understanding	0
162	adrrsg	krama	understanding	0
163	adrrsg	krama	understanding	0
164	adrrsg	krama	understanding	0
165	adrrsg	krama	understanding	0
166	adrrsg	krama	understanding	0
167	adrrsg	krama	understanding	0
168	adrrsg	krama	understanding	0
169	adrrsg	krama	understanding	0
170	adrrsg	krama	understanding	0
171	adrrsg	krama	understanding	0
172	qziqzc	ngoko jogja	understanding	2
173	qziqzc	krama alus	understanding	0
174	qziqzc	krama inggil	understanding	0
175	qziqzc	krama inggil	understanding	0
176	qziqzc	krama inggil	understanding	0
177	qziqzc	krama inggil	understanding	0
178	qziqzc	krama inggil	understanding	0
179	qziqzc	krama inggil	understanding	0
180	qziqzc	krama inggil	understanding	0
181	qziqzc	krama inggil	understanding	0
182	qziqzc	krama inggil	understanding	0
183	qziqzc	krama inggil	understanding	0
184	qziqzc	krama inggil	understanding	0
185	qziqzc	krama inggil	understanding	0
186	qvspzs	ngoko jawa timur	understanding	2
187	qvspzs	krama jawa timur	understanding	2
188	qvspzs	krama jogja	understanding	0
189	qvspzs	krama jogja	understanding	0
190	qvspzs	krama jogja	understanding	0
191	qvspzs	krama jogja	understanding	0
192	qvspzs	krama jogja	understanding	0
193	qvspzs	krama jogja	understanding	0
194	qvspzs	krama jogja	understanding	0
195	qvspzs	krama jogja	understanding	0
196	qvspzs	krama jogja	understanding	0
197	qvspzs	krama jogja	understanding	0
198	qvspzs	krama jogja	understanding	0
199	qvspzs	krama jogja	understanding	0
200	vggktu	tegal	understanding	2
201	vggktu	jawa	understanding	2
202	vggktu	indonesia	understanding	2
203	vggktu	inggris	understanding	2
204	vggktu	arab	understanding	2
205	vggktu	arab	understanding	2
206	vggktu	arab	understanding	2
207	vggktu	arab	understanding	2
208	vggktu	arab	understanding	2
209	vggktu	arab	understanding	2
210	vggktu	arab	understanding	2
211	vggktu	arab	understanding	2
212	vggktu	arab	understanding	2
213	vggktu	arab	understanding	2
214	vggktu	arab	understanding	2
215	gmaxrs	jawa	understanding	1
216	gmaxrs	indonesia	understanding	1
217	gmaxrs	inggris	understanding	-1
218	gmaxrs	inggris	understanding	-1
219	gmaxrs	inggris	understanding	-1
220	gmaxrs	inggris	understanding	-1
221	gmaxrs	inggris	understanding	-1
222	gmaxrs	inggris	understanding	-1
223	gmaxrs	inggris	understanding	-1
224	gmaxrs	inggris	understanding	-1
225	gmaxrs	inggris	understanding	-1
226	gmaxrs	inggris	understanding	-1
227	gmaxrs	inggris	understanding	-1
228	gmaxrs	inggris	understanding	-1
229	inuyjk	jawa magelang	understanding	2
230	inuyjk	jawa bantul	understanding	2
231	inuyjk	jawa bantul	understanding	2
232	inuyjk	jawa bantul	understanding	2
233	inuyjk	jawa bantul	understanding	2
234	inuyjk	jawa bantul	understanding	2
235	inuyjk	jawa bantul	understanding	2
236	inuyjk	jawa bantul	understanding	2
237	inuyjk	jawa bantul	understanding	2
238	inuyjk	jawa bantul	understanding	2
239	inuyjk	jawa bantul	understanding	2
240	inuyjk	jawa bantul	understanding	2
241	inuyjk	jawa bantul	understanding	2
242	inuyjk	jawa bantul	understanding	2
243	mtenqv	jawa	understanding	-1
244	mtenqv	perancis	understanding	0
245	mtenqv	indonesia	understanding	1
246	mtenqv	inggris	understanding	0
247	mtenqv	inggris	understanding	0
248	mtenqv	inggris	understanding	0
249	mtenqv	inggris	understanding	0
250	mtenqv	inggris	understanding	0
251	mtenqv	inggris	understanding	0
252	mtenqv	inggris	understanding	0
253	mtenqv	inggris	understanding	0
254	mtenqv	inggris	understanding	0
255	mtenqv	inggris	understanding	0
256	mtenqv	inggris	understanding	0
257	nxypbq	jawa	understanding	1
258	nxypbq	jawa	understanding	1
259	nxypbq	jawa	understanding	1
260	nxypbq	jawa	understanding	1
261	nxypbq	jawa	understanding	1
262	nxypbq	jawa	understanding	1
263	nxypbq	jawa	understanding	1
264	nxypbq	jawa	understanding	1
265	nxypbq	jawa	understanding	1
266	nxypbq	jawa	understanding	1
267	nxypbq	jawa	understanding	1
268	nxypbq	jawa	understanding	1
269	nxypbq	jawa	understanding	1
270	nxypbq	jawa	understanding	1
271	zzktcz	indonesia	understanding	2
272	zzktcz	jawa jogja	understanding	2
273	zzktcz	inggris	understanding	0
274	zzktcz	jerman	understanding	-1
275	zzktcz	jerman	understanding	-1
276	zzktcz	jerman	understanding	-1
277	zzktcz	jerman	understanding	-1
278	zzktcz	jerman	understanding	-1
279	zzktcz	jerman	understanding	-1
280	zzktcz	jerman	understanding	-1
281	zzktcz	jerman	understanding	-1
282	zzktcz	jerman	understanding	-1
283	zzktcz	jerman	understanding	-1
284	zzktcz	jerman	understanding	-1
285	ytdbdu	jawa pati	understanding	2
286	ytdbdu	jawa yogyakarta	understanding	1
287	ytdbdu	inggris	understanding	1
288	ytdbdu	perancis	understanding	0
289	ytdbdu	perancis	understanding	0
290	ytdbdu	perancis	understanding	0
291	ytdbdu	perancis	understanding	0
292	ytdbdu	perancis	understanding	0
293	ytdbdu	perancis	understanding	0
294	ytdbdu	perancis	understanding	0
295	ytdbdu	perancis	understanding	0
296	ytdbdu	perancis	understanding	0
297	ytdbdu	perancis	understanding	0
298	ytdbdu	perancis	understanding	0
299	jddxuo	jawa mojokerto	understanding	2
300	jddxuo	jawa solo	understanding	0
301	jddxuo	jawa jogja	understanding	1
302	jddxuo	jawa jogja	understanding	1
303	jddxuo	jawa jogja	understanding	1
304	jddxuo	jawa jogja	understanding	1
305	jddxuo	jawa jogja	understanding	1
306	jddxuo	jawa jogja	understanding	1
307	jddxuo	jawa jogja	understanding	1
308	jddxuo	jawa jogja	understanding	1
309	jddxuo	jawa jogja	understanding	1
310	jddxuo	jawa jogja	understanding	1
311	jddxuo	jawa jogja	understanding	1
312	jddxuo	jawa jogja	understanding	1
313	uhdaqt	jawa	understanding	1
314	uhdaqt	indonesia	understanding	1
315	uhdaqt	inggris	understanding	-1
316	uhdaqt	perancis	understanding	-1
317	uhdaqt	perancis	understanding	-1
318	uhdaqt	perancis	understanding	-1
319	uhdaqt	perancis	understanding	-1
320	uhdaqt	perancis	understanding	-1
321	uhdaqt	perancis	understanding	-1
322	uhdaqt	perancis	understanding	-1
323	uhdaqt	perancis	understanding	-1
324	uhdaqt	perancis	understanding	-1
325	uhdaqt	perancis	understanding	-1
326	uhdaqt	perancis	understanding	-1
327	dzedbe	jawa	understanding	1
328	dzedbe	jogja	understanding	1
329	dzedbe	indonesia	understanding	1
330	dzedbe	indonesia	understanding	1
331	dzedbe	indonesia	understanding	1
332	dzedbe	indonesia	understanding	1
333	dzedbe	indonesia	understanding	1
334	dzedbe	indonesia	understanding	1
335	dzedbe	indonesia	understanding	1
336	dzedbe	indonesia	understanding	1
337	dzedbe	indonesia	understanding	1
338	dzedbe	indonesia	understanding	1
339	dzedbe	indonesia	understanding	1
340	dzedbe	indonesia	understanding	1
341	dzedbe	indonesia	understanding	1
342	zkwtsg	jawa ngoko	understanding	2
343	zkwtsg	jawa ngoko	understanding	2
344	zkwtsg	jawa ngoko	understanding	2
345	zkwtsg	jawa ngoko	understanding	2
346	zkwtsg	jawa ngoko	understanding	2
347	zkwtsg	jawa ngoko	understanding	2
348	zkwtsg	jawa ngoko	understanding	2
349	zkwtsg	jawa ngoko	understanding	2
350	zkwtsg	jawa ngoko	understanding	2
351	zkwtsg	jawa ngoko	understanding	2
352	zkwtsg	jawa ngoko	understanding	2
353	zkwtsg	jawa ngoko	understanding	2
354	zkwtsg	jawa ngoko	understanding	2
355	zkwtsg	jawa ngoko	understanding	2
356	xowfpw	jawa	understanding	1
357	xowfpw	indonesia	understanding	1
358	xowfpw	inggris	understanding	-1
359	xowfpw	jerman	understanding	-1
360	xowfpw	jerman	understanding	-1
361	xowfpw	jerman	understanding	-1
362	xowfpw	jerman	understanding	-1
363	xowfpw	jerman	understanding	-1
364	xowfpw	jerman	understanding	-1
365	xowfpw	jerman	understanding	-1
366	xowfpw	jerman	understanding	-1
367	xowfpw	jerman	understanding	-1
368	xowfpw	jerman	understanding	-1
369	xowfpw	jerman	understanding	-1
370	pmoehj	jawa	understanding	2
371	pmoehj	jawa	understanding	2
372	pmoehj	jawa	understanding	2
373	pmoehj	jawa	understanding	2
374	pmoehj	jawa	understanding	2
375	pmoehj	jawa	understanding	2
376	pmoehj	jawa	understanding	2
377	pmoehj	jawa	understanding	2
378	pmoehj	jawa	understanding	2
379	pmoehj	jawa	understanding	2
380	pmoehj	jawa	understanding	2
381	pmoehj	jawa	understanding	2
382	pmoehj	jawa	understanding	2
383	pmoehj	jawa	understanding	2
384	gpztzj	jawa ngapak	understanding	2
385	gpztzj	jawa krama	understanding	2
386	gpztzj	indonesia	understanding	2
387	gpztzj	arab	understanding	1
388	gpztzj	inggris	understanding	1
389	gpztzj	inggris	understanding	1
390	gpztzj	inggris	understanding	1
391	gpztzj	inggris	understanding	1
392	gpztzj	inggris	understanding	1
393	gpztzj	inggris	understanding	1
394	gpztzj	inggris	understanding	1
395	gpztzj	inggris	understanding	1
396	gpztzj	inggris	understanding	1
397	gpztzj	inggris	understanding	1
398	gpztzj	inggris	understanding	1
399	gbohvg	jawa	understanding	2
400	gbohvg	indonesia	understanding	0
401	gbohvg	indonesia	understanding	0
402	gbohvg	indonesia	understanding	0
403	gbohvg	indonesia	understanding	0
404	gbohvg	indonesia	understanding	0
405	gbohvg	indonesia	understanding	0
406	gbohvg	indonesia	understanding	0
407	gbohvg	indonesia	understanding	0
408	gbohvg	indonesia	understanding	0
409	gbohvg	indonesia	understanding	0
410	gbohvg	indonesia	understanding	0
411	gbohvg	indonesia	understanding	0
412	gbohvg	indonesia	understanding	0
413	rqopfd	jawa	understanding	2
414	rqopfd	indonesia	understanding	1
415	rqopfd	indonesia	understanding	1
416	rqopfd	indonesia	understanding	1
417	rqopfd	indonesia	understanding	1
418	rqopfd	indonesia	understanding	1
419	rqopfd	indonesia	understanding	1
420	rqopfd	indonesia	understanding	1
421	rqopfd	indonesia	understanding	1
422	rqopfd	indonesia	understanding	1
423	rqopfd	indonesia	understanding	1
424	rqopfd	indonesia	understanding	1
425	rqopfd	indonesia	understanding	1
426	rqopfd	indonesia	understanding	1
427	clqkap	indonesia	understanding	2
428	clqkap	inggris	understanding	-1
429	clqkap	jawa	understanding	2
430	clqkap	perancis	understanding	-1
431	clqkap	perancis	understanding	-1
432	clqkap	perancis	understanding	-1
433	clqkap	perancis	understanding	-1
434	clqkap	perancis	understanding	-1
435	clqkap	perancis	understanding	-1
436	clqkap	perancis	understanding	-1
437	clqkap	perancis	understanding	-1
438	clqkap	perancis	understanding	-1
439	clqkap	perancis	understanding	-1
440	clqkap	perancis	understanding	-1
441	xubkxa	jawa	understanding	2
442	xubkxa	indonesia	understanding	2
443	xubkxa	inggris	understanding	0
444	xubkxa	inggris	understanding	0
445	xubkxa	inggris	understanding	0
446	xubkxa	inggris	understanding	0
447	xubkxa	inggris	understanding	0
448	xubkxa	inggris	understanding	0
449	xubkxa	inggris	understanding	0
450	xubkxa	inggris	understanding	0
451	xubkxa	inggris	understanding	0
452	xubkxa	inggris	understanding	0
453	xubkxa	inggris	understanding	0
454	xubkxa	inggris	understanding	0
455	hltahj	inggris	understanding	0
456	hltahj	inggris	understanding	0
457	hltahj	inggris	understanding	0
458	hltahj	inggris	understanding	0
459	hltahj	inggris	understanding	0
460	hltahj	inggris	understanding	0
461	hltahj	inggris	understanding	0
462	hltahj	inggris	understanding	0
463	hltahj	inggris	understanding	0
464	hltahj	inggris	understanding	0
465	hltahj	inggris	understanding	0
466	hltahj	inggris	understanding	0
467	hltahj	inggris	understanding	0
468	hltahj	inggris	understanding	0
469	ykdhws	indonesia	understanding	2
470	ykdhws	jawa	understanding	2
471	ykdhws	inggris	understanding	1
472	ykdhws	arab	understanding	1
473	ykdhws	arab	understanding	1
474	ykdhws	arab	understanding	1
475	ykdhws	arab	understanding	1
476	ykdhws	arab	understanding	1
477	ykdhws	arab	understanding	1
478	ykdhws	arab	understanding	1
479	ykdhws	arab	understanding	1
480	ykdhws	arab	understanding	1
481	ykdhws	arab	understanding	1
482	ykdhws	arab	understanding	1
483	frhlng	jawa	understanding	1
484	frhlng	melayu	understanding	1
485	frhlng	indonesia	understanding	1
486	frhlng	arab	understanding	1
487	frhlng	inggris	understanding	1
488	frhlng	inggris	understanding	1
489	frhlng	inggris	understanding	1
490	frhlng	inggris	understanding	1
491	frhlng	inggris	understanding	1
492	frhlng	inggris	understanding	1
493	frhlng	inggris	understanding	1
494	frhlng	inggris	understanding	1
495	frhlng	inggris	understanding	1
496	frhlng	inggris	understanding	1
497	frhlng	inggris	understanding	1
498	bcdayw	indonesia	understanding	1
499	bcdayw	jawa	understanding	1
500	bcdayw	indonesia	understanding	1
501	bcdayw	indonesia	understanding	1
502	bcdayw	indonesia	understanding	1
503	bcdayw	indonesia	understanding	1
504	bcdayw	indonesia	understanding	1
505	bcdayw	indonesia	understanding	1
506	bcdayw	indonesia	understanding	1
507	bcdayw	indonesia	understanding	1
508	bcdayw	indonesia	understanding	1
509	bcdayw	indonesia	understanding	1
510	bcdayw	indonesia	understanding	1
511	bcdayw	indonesia	understanding	1
512	mzaira	indonesia	understanding	1
513	mzaira	indonesia	understanding	1
514	mzaira	indonesia	understanding	1
515	mzaira	indonesia	understanding	1
516	mzaira	indonesia	understanding	1
517	mzaira	indonesia	understanding	1
518	mzaira	indonesia	understanding	1
519	mzaira	indonesia	understanding	1
520	mzaira	indonesia	understanding	1
521	mzaira	indonesia	understanding	1
522	mzaira	indonesia	understanding	1
523	mzaira	indonesia	understanding	1
524	mzaira	indonesia	understanding	1
525	mzaira	indonesia	understanding	1
526	vuhhgw	indonesia	understanding	2
527	vuhhgw	bugis	understanding	0
528	vuhhgw	mandar	understanding	0
529	vuhhgw	mandar	understanding	0
530	vuhhgw	mandar	understanding	0
531	vuhhgw	mandar	understanding	0
532	vuhhgw	mandar	understanding	0
533	vuhhgw	mandar	understanding	0
534	vuhhgw	mandar	understanding	0
535	vuhhgw	mandar	understanding	0
536	vuhhgw	mandar	understanding	0
537	vuhhgw	mandar	understanding	0
538	vuhhgw	mandar	understanding	0
539	vuhhgw	mandar	understanding	0
540	iyvjwo	indonesia	understanding	1
541	iyvjwo	jawa	understanding	-1
542	iyvjwo	arab	understanding	0
543	iyvjwo	inggris	understanding	-1
544	iyvjwo	inggris	understanding	-1
545	iyvjwo	inggris	understanding	-1
546	iyvjwo	inggris	understanding	-1
547	iyvjwo	inggris	understanding	-1
548	iyvjwo	inggris	understanding	-1
549	iyvjwo	inggris	understanding	-1
550	iyvjwo	inggris	understanding	-1
551	iyvjwo	inggris	understanding	-1
552	iyvjwo	inggris	understanding	-1
553	iyvjwo	inggris	understanding	-1
554	utetfu	jawa	understanding	2
555	utetfu	indonesia	understanding	2
556	utetfu	palembang	understanding	1
557	utetfu	inggris	understanding	1
558	utetfu	inggris	understanding	1
559	utetfu	inggris	understanding	1
560	utetfu	inggris	understanding	1
561	utetfu	inggris	understanding	1
562	utetfu	inggris	understanding	1
563	utetfu	inggris	understanding	1
564	utetfu	inggris	understanding	1
565	utetfu	inggris	understanding	1
566	utetfu	inggris	understanding	1
567	utetfu	inggris	understanding	1
568	vaaavh	jawa	understanding	1
569	vaaavh	indonesia	understanding	1
570	vaaavh	arab	understanding	0
571	vaaavh	inggris	understanding	0
572	vaaavh	inggris	understanding	0
573	vaaavh	inggris	understanding	0
574	vaaavh	inggris	understanding	0
575	vaaavh	inggris	understanding	0
576	vaaavh	inggris	understanding	0
577	vaaavh	inggris	understanding	0
578	vaaavh	inggris	understanding	0
579	vaaavh	inggris	understanding	0
580	vaaavh	inggris	understanding	0
581	vaaavh	inggris	understanding	0
582	mjgkuz	sunda	understanding	2
583	mjgkuz	jawa	understanding	-1
584	mjgkuz	indonesia	understanding	2
585	mjgkuz	inggris	understanding	-1
586	mjgkuz	inggris	understanding	-1
587	mjgkuz	inggris	understanding	-1
588	mjgkuz	inggris	understanding	-1
589	mjgkuz	inggris	understanding	-1
590	mjgkuz	inggris	understanding	-1
591	mjgkuz	inggris	understanding	-1
592	mjgkuz	inggris	understanding	-1
593	mjgkuz	inggris	understanding	-1
594	mjgkuz	inggris	understanding	-1
595	mjgkuz	inggris	understanding	-1
596	zfznzz	bangka	understanding	2
597	zfznzz	indonesia	understanding	2
598	zfznzz	inggris	understanding	0
599	zfznzz	jawa	understanding	-2
600	zfznzz	jawa	understanding	-2
601	zfznzz	jawa	understanding	-2
602	zfznzz	jawa	understanding	-2
603	zfznzz	jawa	understanding	-2
604	zfznzz	jawa	understanding	-2
605	zfznzz	jawa	understanding	-2
606	zfznzz	jawa	understanding	-2
607	zfznzz	jawa	understanding	-2
608	zfznzz	jawa	understanding	-2
609	zfznzz	jawa	understanding	-2
610	tynwxl	jawa	understanding	0
611	tynwxl	indonesia	understanding	2
612	tynwxl	arab	understanding	-1
613	tynwxl	inggris	understanding	-1
614	tynwxl	inggris	understanding	-1
615	tynwxl	inggris	understanding	-1
616	tynwxl	inggris	understanding	-1
617	tynwxl	inggris	understanding	-1
618	tynwxl	inggris	understanding	-1
619	tynwxl	inggris	understanding	-1
620	tynwxl	inggris	understanding	-1
621	tynwxl	inggris	understanding	-1
622	tynwxl	inggris	understanding	-1
623	tynwxl	inggris	understanding	-1
624	swlbnj	jawa	understanding	-1
625	swlbnj	indonesia	understanding	0
626	swlbnj	inggris	understanding	0
627	swlbnj	arab	understanding	0
628	swlbnj	arab	understanding	0
629	swlbnj	arab	understanding	0
630	swlbnj	arab	understanding	0
631	swlbnj	arab	understanding	0
632	swlbnj	arab	understanding	0
633	swlbnj	arab	understanding	0
634	swlbnj	arab	understanding	0
635	swlbnj	arab	understanding	0
636	swlbnj	arab	understanding	0
637	swlbnj	arab	understanding	0
638	bjlvxy	jawa ngoko	understanding	2
639	bjlvxy	indonesia	understanding	2
640	bjlvxy	indonesia	understanding	2
641	bjlvxy	indonesia	understanding	2
642	bjlvxy	indonesia	understanding	2
643	bjlvxy	indonesia	understanding	2
644	bjlvxy	indonesia	understanding	2
645	bjlvxy	indonesia	understanding	2
646	bjlvxy	indonesia	understanding	2
647	bjlvxy	indonesia	understanding	2
648	bjlvxy	indonesia	understanding	2
649	bjlvxy	indonesia	understanding	2
650	bjlvxy	indonesia	understanding	2
651	bjlvxy	indonesia	understanding	2
652	pylalb	jawa	understanding	2
653	pylalb	indonesia	understanding	2
654	pylalb	inggris	understanding	0
655	pylalb	arab	understanding	0
656	pylalb	arab	understanding	0
657	pylalb	arab	understanding	0
658	pylalb	arab	understanding	0
659	pylalb	arab	understanding	0
660	pylalb	arab	understanding	0
661	pylalb	arab	understanding	0
662	pylalb	arab	understanding	0
663	pylalb	arab	understanding	0
664	pylalb	arab	understanding	0
665	pylalb	arab	understanding	0
666	bfreap	jawa ngoko	understanding	2
667	bfreap	indonesia	understanding	1
668	bfreap	jawa krama	understanding	1
669	bfreap	daerah ngapak	understanding	2
670	bfreap	daerah ngapak	understanding	2
671	bfreap	daerah ngapak	understanding	2
672	bfreap	daerah ngapak	understanding	2
673	bfreap	daerah ngapak	understanding	2
674	bfreap	daerah ngapak	understanding	2
675	bfreap	daerah ngapak	understanding	2
676	bfreap	daerah ngapak	understanding	2
677	bfreap	daerah ngapak	understanding	2
678	bfreap	daerah ngapak	understanding	2
679	bfreap	daerah ngapak	understanding	2
680	apcmgo	tegal	understanding	2
681	apcmgo	indonesia	understanding	1
682	apcmgo	jawa krama	understanding	-1
683	apcmgo	jawa krama	understanding	-1
684	apcmgo	jawa krama	understanding	-1
685	apcmgo	jawa krama	understanding	-1
686	apcmgo	jawa krama	understanding	-1
687	apcmgo	jawa krama	understanding	-1
688	apcmgo	jawa krama	understanding	-1
689	apcmgo	jawa krama	understanding	-1
690	apcmgo	jawa krama	understanding	-1
691	apcmgo	jawa krama	understanding	-1
692	apcmgo	jawa krama	understanding	-1
693	apcmgo	jawa krama	understanding	-1
694	pzhfdy	jawa krama	understanding	-1
695	pzhfdy	jawa krama	understanding	-1
696	pzhfdy	jawa krama	understanding	-1
697	pzhfdy	jawa krama	understanding	-1
698	pzhfdy	jawa krama	understanding	-1
699	pzhfdy	jawa krama	understanding	-1
700	pzhfdy	jawa krama	understanding	-1
701	pzhfdy	jawa krama	understanding	-1
702	pzhfdy	jawa krama	understanding	-1
703	pzhfdy	jawa krama	understanding	-1
704	pzhfdy	jawa krama	understanding	-1
705	pzhfdy	jawa krama	understanding	-1
706	pzhfdy	jawa krama	understanding	-1
707	pzhfdy	jawa krama	understanding	-1
708	zuwais	jawa krama	understanding	-1
709	zuwais	jawa krama	understanding	-1
710	zuwais	jawa krama	understanding	-1
711	zuwais	jawa krama	understanding	-1
712	zuwais	jawa krama	understanding	-1
713	zuwais	jawa krama	understanding	-1
714	zuwais	jawa krama	understanding	-1
715	zuwais	jawa krama	understanding	-1
716	zuwais	jawa krama	understanding	-1
717	zuwais	jawa krama	understanding	-1
718	zuwais	jawa krama	understanding	-1
719	zuwais	jawa krama	understanding	-1
720	zuwais	jawa krama	understanding	-1
721	zuwais	jawa krama	understanding	-1
722	xcsixi	indonesia	understanding	2
723	xcsixi	batak	understanding	2
724	xcsixi	arab	understanding	1
